Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=194,2,0,564.1322718001902,689.8623399902135,564.1322718001902,815.5924081802368,28510.0,0.03379959016172496,0.0,820,820,820,820,820,820,820,820,820,820,820
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=196,3,0,610.0,633.7461912383636,558.1990317441523,730.6429110467434,28618.333333333332,0.050699385242587436,0.0,610,610,730,730,730,730,730,730,730,730,730
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=197,2,0,481.2357509508729,597.6908209268004,481.2357509508729,714.1458909027278,28768.5,0.03379959016172496,0.0,710,710,710,710,710,710,710,710,710,710,710
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=198,3,0,790.0,848.563483916223,781.0609037987888,970.6758633255959,29544.666666666668,0.050699385242587436,0.0,790,790,970,970,970,970,970,970,970,970,970
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=199,2,0,464.7597027942538,633.969294372946,464.7597027942538,803.1788859516382,29071.5,0.03379959016172496,0.0,800,800,800,800,800,800,800,800,800,800,800
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=20,3,0,540.0,550.4953664106628,515.1007152162492,595.4625681042671,28971.0,0.050699385242587436,0.0,540,540,600,600,600,600,600,600,600,600,600
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=200,1,0,725.1895260997117,725.1895260997117,725.1895260997117,725.1895260997117,28222.0,0.01689979508086248,0.0,730,730,730,730,730,730,730,730,730,730,730
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=201,2,0,400.78187407925725,539.0746355988085,400.78187407925725,677.3673971183598,28524.5,0.03379959016172496,0.0,680,680,680,680,680,680,680,680,680,680,680
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=202,2,0,500.0,586.1765940207988,499.37471002340317,672.9784780181944,28805.5,0.03379959016172496,0.0,670,670,670,670,670,670,670,670,670,670,670
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=203,5,0,660.0,643.4596467763186,392.5861450843513,809.2641653493047,28897.8,0.0844989754043124,0.0,660,780,780,810,810,810,810,810,810,810,810
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=204,2,0,600.0,749.1407140623778,598.979206290096,899.3022218346596,28500.0,0.03379959016172496,0.0,900,900,900,900,900,900,900,900,900,900,900
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=205,4,0,590.0,673.4279611846432,509.87920723855495,808.3071731962264,29516.5,0.06759918032344991,0.0,780,780,810,810,810,810,810,810,810,810,810
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=206,2,0,600.0,611.8339570239186,595.7522229291499,627.9156911186874,28515.0,0.03379959016172496,0.0,630,630,630,630,630,630,630,630,630,630,630
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=208,7,0,700.0,706.6452305630913,481.3828272745013,884.1741080395877,28867.428571428572,0.11829856556603735,0.0,700,760,770,770,880,880,880,880,880,880,880
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=209,1,0,429.56307297572494,429.56307297572494,429.56307297572494,429.56307297572494,28213.0,0.01689979508086248,0.0,430,430,430,430,430,430,430,430,430,430,430
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=21,4,0,510.0,569.2875810200348,437.7493420615792,750.2775778993964,29510.5,0.06759918032344991,0.0,580,580,750,750,750,750,750,750,750,750,750
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=210,2,0,740.0,807.1505862753838,737.1159382164478,877.1852343343198,29638.5,0.03379959016172496,0.0,880,880,880,880,880,880,880,880,880,880,880
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=211,5,0,540.0,529.5770288445055,329.11174977198243,736.0184481367469,28795.0,0.0844989754043124,0.0,540,570,570,740,740,740,740,740,740,740,740
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=212,6,0,610.0,737.3673821954677,455.82027919590473,1163.0131169222295,28499.5,0.10139877048517487,0.0,810,810,880,880,1200,1200,1200,1200,1200,1200,1200
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=213,3,0,670.0,715.1027739358445,472.565246745944,1002.1693441085517,28217.0,0.050699385242587436,0.0,670,670,1000,1000,1000,1000,1000,1000,1000,1000,1000
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=215,2,0,750.0,787.1135019231588,747.4377518519759,826.7892519943416,28789.5,0.03379959016172496,0.0,830,830,830,830,830,830,830,830,830,830,830
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=216,1,0,457.82635174691677,457.82635174691677,457.82635174691677,457.82635174691677,28800.0,0.01689979508086248,0.0,460,460,460,460,460,460,460,460,460,460,460
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=217,3,0,590.0,712.0362385176122,522.6544830948114,1024.806679226458,28592.333333333332,0.050699385242587436,0.0,590,590,1000,1000,1000,1000,1000,1000,1000,1000,1000
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=218,2,0,410.02987418323755,532.7645055949688,410.02987418323755,655.4991370067,28496.5,0.03379959016172496,0.0,660,660,660,660,660,660,660,660,660,660,660
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=219,3,0,710.0,697.6243591246506,587.4814162962139,798.6894990317523,28817.0,0.050699385242587436,0.0,710,710,800,800,800,800,800,800,800,800,800
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=22,6,0,510.0,533.6078417021781,413.60919177532196,752.0913700573146,28803.333333333332,0.10139877048517487,0.0,510,510,550,550,750,750,750,750,750,750,750
